name,language,stars,forks,size,last_pushed
Microsoft/TypeScriptSamples,TypeScript,1964,1880,1144,2017-04-24T17:34:13Z
FrDH/jQuery.mmenu,TypeScript,1961,507,1846,2017-05-18T11:24:51Z
jupyterlab/jupyterlab,TypeScript,1942,289,39675,2017-06-23T22:31:45Z
NathanWalker/angular-seed-advanced,TypeScript,1807,402,12985,2017-06-11T05:43:42Z
ionic-team/ionic-conference-app,TypeScript,1779,893,40864,2017-06-21T20:55:54Z
basarat/typescript-book,TypeScript,1668,309,5860,2017-06-21T06:35:37Z
rhysd/NyaoVim,TypeScript,1665,43,8380,2017-06-17T19:01:57Z
VSCodeVim/Vim,TypeScript,1659,229,3543,2017-06-23T15:35:31Z
sourcelair/xterm.js,TypeScript,1601,211,2476,2017-06-23T02:37:20Z
alm-tools/alm,TypeScript,1599,100,5078,2017-06-14T03:15:53Z
vmware/clarity,TypeScript,1560,152,115142,2017-06-23T21:31:40Z
yortus/asyncawait,TypeScript,1551,48,1251,2017-03-13T04:32:08Z
orbitjs/orbit,TypeScript,1538,75,2744,2017-06-21T01:41:13Z
pillarjs/path-to-regexp,TypeScript,1393,87,169,2017-04-18T09:03:58Z
Microsoft/TouchDevelop,TypeScript,1338,171,38814,2017-03-13T20:42:11Z
ionic-team/ionic-native,TypeScript,1331,864,5947,2017-06-23T20:52:01Z
inversify/InversifyJS,TypeScript,1324,90,1224,2017-06-23T18:54:39Z
typestyle/typestyle,TypeScript,1322,44,380,2017-06-23T14:25:34Z
swimlane/ngx-datatable,TypeScript,1318,358,10082,2017-06-19T14:19:16Z
ngx-translate/core,TypeScript,1291,203,3240,2017-06-18T14:23:38Z
Chatie/wechaty,TypeScript,1285,242,2534,2017-06-23T14:39:49Z
apollographql/graphql-server,TypeScript,1282,150,576,2017-06-23T23:08:10Z
angular/universal-starter,TypeScript,1270,462,380,2017-05-15T04:01:45Z
redux-loop/redux-loop,TypeScript,1246,68,382,2017-05-30T23:14:55Z
OfficeDev/office-ui-fabric-react,TypeScript,1244,251,11685,2017-06-23T22:54:23Z
ionic-team/ionic-cli,TypeScript,1232,430,5293,2017-06-16T11:39:42Z
colmena/colmena,TypeScript,1228,414,5086,2017-06-23T21:39:45Z
rangle/augury,TypeScript,1224,119,6061,2017-06-23T21:02:47Z
Polymer/polymer-bundler,TypeScript,1208,134,1556,2017-06-21T17:55:02Z
n3-charts/line-chart,TypeScript,1207,200,14130,2017-06-15T09:27:50Z
superpowers/superpowers-core,TypeScript,1192,102,4228,2017-02-23T14:56:19Z
alexjlockwood/ShapeShifter,TypeScript,1186,42,15615,2017-06-23T16:12:56Z
tessera-metrics/tessera,TypeScript,1182,81,23332,2017-02-03T17:51:55Z
angular/flex-layout,TypeScript,1180,146,1007,2017-06-23T18:30:10Z
mgechev/codelyzer,TypeScript,1177,111,14428,2017-06-23T19:58:05Z
auth0/angular2-jwt,TypeScript,1171,271,172,2017-06-21T19:33:08Z
appbaseio/mirage,TypeScript,1166,39,90418,2017-03-26T07:55:34Z
plasma-umass/doppio,TypeScript,1155,130,77208,2017-06-11T13:42:02Z
DefinitelyTyped/tsd,TypeScript,1123,136,7559,2017-02-21T10:00:53Z
staltz/xstream,TypeScript,1078,71,1076,2017-06-11T16:29:45Z
zhongsp/TypeScript,TypeScript,1058,303,1844,2017-06-23T07:11:12Z
Microsoft/vscode-react-native,TypeScript,1048,72,3992,2017-06-20T09:25:01Z
TypeStrong/ts-node,TypeScript,997,81,329,2017-06-23T20:02:14Z
housseindjirdeh/angular2-hn,TypeScript,994,164,1886,2017-06-20T16:11:08Z
angular/angular2-seed,TypeScript,992,669,171,2017-04-16T15:34:27Z
tgdwyer/WebCola,TypeScript,979,152,39523,2017-05-17T00:06:43Z
robertknight/webpack-bundle-size-analyzer,TypeScript,971,30,125,2017-05-22T20:54:46Z
Rebilly/ReDoc,TypeScript,967,98,42294,2017-06-23T01:45:35Z
Teradata/covalent,TypeScript,965,163,3385,2017-06-23T18:05:53Z
thelgevold/angular-2-samples,TypeScript,946,307,20820,2017-06-19T23:06:01Z
swimlane/ngx-charts,TypeScript,932,158,30548,2017-06-22T14:46:33Z
apollographql/react-apollo,TypeScript,928,131,1386,2017-06-20T21:41:01Z
TypeStrong/atom-typescript,TypeScript,897,190,22834,2017-06-20T09:58:19Z
s-panferov/awesome-typescript-loader,TypeScript,887,107,961,2017-06-23T20:51:45Z
angular-redux/store,TypeScript,885,143,1652,2017-06-21T21:15:08Z
kamilmysliwiec/nest,TypeScript,868,43,433,2017-06-14T08:19:06Z
jabbany/CommentCoreLibrary,TypeScript,865,228,10411,2017-06-13T01:36:20Z
valor-software/ng2-dragula,TypeScript,850,212,9397,2017-06-16T14:50:24Z
ngrx/example-app,TypeScript,844,347,5157,2017-06-02T12:48:33Z
anthonynsimon/parrot,TypeScript,826,40,1844,2017-04-28T18:56:20Z
valor-software/ng2-file-upload,TypeScript,814,290,17786,2017-05-31T16:04:29Z
vladotesanovic/ngSemantic,TypeScript,810,138,8022,2017-06-13T05:39:17Z
apollographql/graphql-tools,TypeScript,802,78,506,2017-06-10T07:43:28Z
valor-software/ng2-charts,TypeScript,785,270,28309,2017-06-13T14:49:37Z
Shopify/polaris,TypeScript,779,63,607,2017-06-19T17:42:32Z
vega/vega-lite,TypeScript,778,86,35278,2017-06-23T23:02:57Z
furnishup/blueprint3d,TypeScript,760,140,9013,2017-01-12T16:59:12Z
DeborahK/Angular2-GettingStarted,TypeScript,754,1085,363,2017-06-23T08:11:28Z
btroncone/learn-rxjs,TypeScript,747,66,455,2017-06-16T12:11:05Z
WuTheFWasThat/vimflowy,TypeScript,742,39,2823,2017-06-14T06:08:06Z
born2net/Angular-kitchen-sink,TypeScript,739,137,4053,2017-06-02T19:20:45Z
mobxjs/mobx-state-tree,TypeScript,734,48,1436,2017-06-23T13:36:41Z
torokmark/design_patterns_in_typescript,TypeScript,706,137,59,2017-06-03T00:36:12Z
urish/angular-spinner,TypeScript,700,151,124,2017-01-25T12:16:06Z
octref/vetur,TypeScript,697,42,2389,2017-06-23T17:12:09Z
gothinkster/angular-realworld-example-app,TypeScript,692,210,121,2017-06-21T23:27:35Z
Microsoft/vscode-chrome-debug,TypeScript,692,100,35463,2017-06-23T05:29:17Z
justindujardin/ng2-material,TypeScript,686,201,2221,2017-01-15T17:39:59Z
SebastianM/angular-google-maps,TypeScript,684,255,6243,2017-06-23T09:31:48Z
qdouble/angular-webpack2-starter,TypeScript,679,141,1010,2017-06-04T13:30:38Z
angular/dgeni,TypeScript,657,60,4849,2017-06-15T21:38:27Z
angular/react-native-renderer,TypeScript,650,68,151614,2017-06-22T10:27:52Z
paulirish/pwmetrics,TypeScript,637,24,414,2017-06-23T17:17:33Z
michaelgrosner/tribeca,TypeScript,636,188,2019,2017-06-23T20:09:30Z
itchio/itch,TypeScript,633,62,36152,2017-06-23T17:32:55Z
johnpapa/angular-tour-of-heroes,TypeScript,628,694,221,2017-05-11T22:16:59Z
DanWahlin/Angular-JumpStart,TypeScript,625,300,1948,2017-06-15T04:46:16Z
vuejs/vue-class-component,TypeScript,619,44,179,2017-05-05T05:05:30Z
NativeScript/nativescript-angular,TypeScript,615,116,6143,2017-06-23T10:59:47Z
jupyter-widgets/ipywidgets,TypeScript,610,249,20188,2017-06-23T20:42:33Z
blakeembrey/free-style,TypeScript,610,21,141,2017-06-23T14:56:43Z
jelbourn/material2-app,TypeScript,607,337,68,2017-06-14T07:06:25Z
Microsoft/vsts-tasks,TypeScript,606,551,31730,2017-06-23T19:53:52Z
kazuhikoarase/qrcode-generator,TypeScript,603,217,279,2017-05-22T17:16:18Z
uProxy/uProxy-p2p,TypeScript,603,120,22720,2017-06-20T16:38:28Z
glimmerjs/glimmer-vm,TypeScript,577,76,6268,2017-06-23T22:04:11Z
zaggino/brackets-git,TypeScript,572,155,6110,2017-04-13T04:15:20Z
palantir/react-mosaic,TypeScript,553,20,2830,2017-06-18T18:43:10Z
improbable-eng/grpc-web,TypeScript,546,30,219,2017-06-21T09:39:22Z
tlaverdure/laravel-echo-server,TypeScript,536,81,189,2017-06-16T11:26:45Z
AFASSoftware/maquette,TypeScript,536,51,2943,2017-06-23T12:16:34Z
NativeScript/nativescript-cli,TypeScript,535,102,37166,2017-06-23T15:42:29Z
dixso/custombox,TypeScript,534,149,2661,2017-06-23T18:10:06Z
vscode-icons/vscode-icons,TypeScript,533,148,14685,2017-06-23T19:09:19Z
surveyjs/surveyjs,TypeScript,530,135,66011,2017-06-23T08:46:51Z
staltz/matrixmultiplication.xyz,TypeScript,525,38,1106,2017-06-11T07:13:06Z
compodoc/compodoc,TypeScript,524,34,17078,2017-06-22T09:05:09Z
